Woonplaats code,Plaats,Plaatsnaam lengte,Postcode,Gemeente,Provincie
,Bouchauterhaven,15,4553–4553,Terneuzen,Zeeland
,Boudewijnskerke,15,4374–4374,Veere,Zeeland
,Boukoul,7,6071–6071,Roermond,Limburg
,Bouwerschap,11,9791–9791,Groningen,Groningen
,Boven Pekela,12,9663–9663,Pekela,Groningen
,Boven Veensloot,15,9651–9651,Midden-Groningen,Groningen
,Boven-Haastrecht,16,2851–2851,Krimpenerwaard,Zuid-Holland
,Boven-Hardinxveld,17,3372–3372,Hardinxveld-Giessendam,Zuid-Holland
,Bovenberg,9,2871–2871,Krimpenerwaard,Zuid-Holland
,Boveneind,9,5394–5394,Oss,Noord-Brabant
,Boveneinde,10,3775–3775,Barneveld,Gelderland
,Bovenkerk,9,1187–1187,Amstelveen,Noord-Holland
,Bovenkerk,9,2821–2821,Krimpenerwaard,Zuid-Holland
,Bovenrijge,10,9791–9791,Groningen,Groningen
,Bovensluis,10,4797–4797,Moerdijk,Noord-Brabant
,Bovenstad,9,2861–2861,Krimpenerwaard,Zuid-Holland
,"Bovenstehuis /Bovenste Huis (?)",32,5427–5427,Boekel,Noord-Brabant
,Bovenstreek,11,9511–9511,Aa en Hunze,Drenthe
,Bovenstreek,11,9678–9678,Oldambt,Groningen
,Braakhoek,9,5094–5094,Reusel-De Mierden,Noord-Brabant
,Den Braam,9,7481–7481,Haaksbergen,Overijssel
,Braamberg,9,7776–7776,Hardenberg,Overijssel
,Braamberg,9,9584–9584,Stadskanaal,Groningen
,Braambos(ch) (?),16,5563–5563,Bergeijk,Noord-Brabant
,Brabander,9,5801–5801,Venray,Limburg
,Brakel,6,5133–5133,Goirle,Noord-Brabant
,Brammelo,8,7482–7482,Haaksbergen,Overijssel
,Brand,5,5411–5411,Landerd,Noord-Brabant
,Brandemolen,11,5944–5944,Venlo,Limburg
,Brandt,6,6107–6107,Maasgouw,Limburg
,Bredelaar,9,6662–6662,Overbetuwe,Gelderland
,De Bree,7,2415–2415,Bodegraven-Reeuwijk,Zuid-Holland
,De Bree,7,3443–3443,Woerden,Utrecht
,Breede,6,9989–9989,Het Hogeland,Groningen
,Breedeveen,10,3956–3956,Utrechtse Heuvelrug,Utrecht
,Breedeweg,9,6562–6562,Berg en Dal,Gelderland
,Breedschot,10,4891–4891,Zundert,Noord-Brabant
,Breehees,8,5051–5051,Goirle,Noord-Brabant
,Breemortel,10,5753–5753,Deurne,Noord-Brabant
,Breeveld,8,3445–3445,Woerden,Utrecht
,Breklenkamp,11,7635–7635,Dinkelland,Overijssel
,Brem,4,5056–5056,Tilburg,Noord-Brabant
,Brembosch,9,4708–4708,Roosendaal,Noord-Brabant
,Breudijk,8,3481–3481,Woerden,Utrecht
,Breugel,7,5694–5694,Son en Breugel,Noord-Brabant
,Breyvin,7,6039–6039,Weert,Limburg
,Brigdamme,9,4333–4333,Middelburg,Zeeland
,Brijdorpe,9,4322–4322,Schouwen-Duiveland,Zeeland
,Brillerij,9,9892–9892,Westerkwartier,Groningen
,Brinkmanshoek,13,7261–7261,Berkelland,Gelderland
,Broek,5,9968–9968,Het Hogeland,Groningen
,Broek,5,6281–6281,Gulpen-Wittem,Limburg
,Broek,5,5961–5961,Horst aan de Maas,Limburg
,Broek,5,5738–5738,Laarbeek,Noord-Brabant
,Broek,5,5995–5995,Peel en Maas,Limburg
,Broek,5,6351–6351,Simpelveld,Limburg
,Broek,5,4231–4231,Vijfheerenlanden,Utrecht
,Het Broek,9,7031–7031,Doetinchem,Gelderland
,Het Broek,9,5731–5731,Geldrop-Mierlo,Noord-Brabant
,"Broek /De Broek (Broek-Noord)",30,8512–8512,De Fryske Marren,Fryslân
,Broekeind,9,5971–5971,Horst aan de Maas,Limburg
,Broekenseind,12,5528–5528,Bladel,Noord-Brabant
,Broekheurne,11,7544–7544,Enschede,Overijssel
,Broekhoven,10,5561–5561,Bergeijk,Noord-Brabant
,Broekhoven,10,6243–6243,Meerssen,Limburg
,Broekhuizen,11,7722–7722,Dalfsen,Overijssel
,Broekhuizen,11,7961–7961,De Wolden,Drenthe
,Broekkant,9,6021–6021,Cranendonck,Noord-Brabant
,Broekkant,9,5741–5741,Laarbeek,Noord-Brabant
,Broekkant,9,5446–5446,Sint Anthonis,Noord-Brabant
,Broekkant,9,5715–5715,Someren,Noord-Brabant
,Broekzijde,10,5066–5066,Oisterwijk,Noord-Brabant
,Broerdijk,9,1679–1679,Medemblik,Noord-Holland
,Brommelen,9,6243–6243,Meerssen,Limburg
,Brommelen,9,6363–6363,Beekdaelen,Limburg
,Bronsveen,9,9665–9697,Pekela,Groningen
,Bruggen,7,5451–5451,Mill en Sint Hubert,Noord-Brabant
,Bruggerhuizen,13,5595–5595,Heeze-Leende,Noord-Brabant
,De Bruil,8,7261–7261,Berkelland,Gelderland
,De Bruil,8,9561–9561,Westerwolde,Groningen
,Bruisterbosch,13,6265–6265,Eijsden-Margraten,Limburg
,Brumhold,8,6086–6086,Leudal,Limburg
,Brunsting,9,9411–9411,Midden-Drenthe,Drenthe
,De Buis,7,4882–4882,Zundert,Noord-Brabant
,Buitenhuizen,12,7961–7961,De Wolden,Drenthe
,"Buitenstverlaat /Bûtenstfallaat",32,9206–9206,Smallingerland,Fryslân
,Bulkemsbroek,12,6369–6369,Simpelveld,Limburg
,Bulkenaar,9,4708–4708,Roosendaal,Noord-Brabant
,Bullenkamp,10,6603–6603,Wijchen,Gelderland
,De Bult,7,9696–9696,Westerwolde,Groningen
,Bultinge,8,7935–7935,De Wolden,Drenthe
,Burgemeester Beinsdorp,22,9561–9561,Westerwolde,Groningen
,Burgersdijk,11,3155–3155,Midden-Delfland,Zuid-Holland
,Burgersdijk,11,2678–2678,Westland,Zuid-Holland
,Burgervlotbrug,14,1754–1754,Schagen,Noord-Holland
,Burgh,5,4328–4328,Schouwen-Duiveland,Zeeland
,Burghsluis,10,4328–4328,Schouwen-Duiveland,Zeeland
,Burgt,5,5427–5427,Boekel,Noord-Brabant
,Bus,3,5388–5388,Bernheze,Noord-Brabant
,Bus,3,5466–5466,Meierijstad,Noord-Brabant
,De Bus,6,5482–5482,Meierijstad,Noord-Brabant
,De Bus,6,5492–5492,Meierijstad,Noord-Brabant
,Bussel,6,5721–5721,Asten,Noord-Brabant
,Busselte,8,7973–7973,Westerveld,Drenthe
,Bussereind,10,5954–5954,Beesel,Limburg
,Bussloo,7,7383–7383,Voorst,Gelderland
,Buttinga,8,8431–8431,Ooststellingwerf,Fryslân
,Buttinge,8,4364–4364,Veere,Zeeland
,Buurse,6,7481–7481,Haaksbergen,Overijssel
,De Buurt,8,1679–1679,Medemblik,Noord-Holland
,'t Buurtje,10,1751–1751,Schagen,Noord-Holland
,Buurtje,7,4254–4254,Altena,Noord-Brabant
,"Buweklooster /Bouwekleaster",28,9281–9281,Achtkarspelen,Fryslân
,Cabauw,6,3411–3411,Lopik,Utrecht
,Cadzand-Bad,11,4506–4506,Sluis,Zeeland
,Calfven,7,4641–4641,Woensdrecht,Noord-Brabant
,Californië,10,5971–5971,Horst aan de Maas,Limburg
,Californië,10,5321–5321,Maasdriel,Gelderland
,Calslagen,9,1433–1433,Aalsmeer,Noord-Holland
,Caluna,6,6093–6093,Leudal,Limburg
,Camerig,7,6294–6294,Vaals,Limburg
,Capelle,7,5161–5161,Waalwijk,Noord-Brabant
,Capelle-West,12,2901–2901,Capelle aan den IJssel,Zuid-Holland
,Carnisse,8,2993–2993,Barendrecht,Zuid-Holland
,Cartils,7,6286–6286,Gulpen-Wittem,Limburg
,Castelré,8,5114–5114,Baarle-Nassau,Noord-Brabant
,Castert,7,6005–6005,Weert,Limburg
,Catsop,6,6181–6181,Stein,Limburg
,Cattenbroek,11,3461–3461,Montfoort,Utrecht
,Cellemuiden,11,8281–8281,Zwartewaterland,Overijssel
,Ceresdorp,9,9502–9502,Stadskanaal,Groningen
,Chaamdijk,9,4861–4861,Alphen-Chaam,Noord-Brabant
,Coldenhove,10,6961–6961,Brummen,Gelderland
,'t Coll,7,5641–5641,Eindhoven,Noord-Brabant
,Collendoornerveen,17,7798–7798,Hardenberg,Overijssel
,Colmont,7,6367–6367,Voerendaal,Limburg
,Commissiepolle,14,8537–8537,De Fryske Marren,Fryslân
,Cortenoever,11,6971–6971,Brummen,Gelderland
,Cottessen,9,6294–6294,Vaals,Limburg
,"Couwelaar /Cauwelaer (?)",25,4858–4858,Alphen-Chaam,Noord-Brabant
,Crailo,6,1272–1272,Huizen,Noord-Holland
,Cranendonck,11,6027–6027,Cranendonck,Noord-Brabant
,Crapoel,7,6271–6271,Gulpen-Wittem,Limburg
,Craubeek,8,6343–6343,Voerendaal,Limburg
,Crixhoek,8,6039–6039,Weert,Limburg
,Crob,4,4175–4175,West Betuwe,Gelderland
,Croy,4,5708–5735,Helmond,Noord-Brabant
,Crèvecoeur,10,5221–5221,'s-Hertogenbosch,Noord-Brabant
,Dal,3,6281–6281,Gulpen-Wittem,Limburg
,Daland,6,5815–5815,Venray,Limburg
,Dale,4,7122–7122,Aalten,Gelderland
,Dalem,5,5527–5527,Bladel,Noord-Brabant
,Dalerend,8,7753–7753,Coevorden,Drenthe
,Dallingeweer,12,9947–9947,Delfzijl,Groningen
,Dam,3,6595–6595,Gennep,Limburg
,Daniken,7,6174–6174,Beekdaelen,Limburg
,Darthuizen,10,3956–3956,Utrechtse Heuvelrug,Utrecht
,Dassemus,8,4861–4861,Alphen-Chaam,Noord-Brabant
,Deelse Kampen,13,5421–5421,Gemert-Bakel,Noord-Brabant
,Deelshurk,9,5556–5556,Valkenswaard,Noord-Brabant
,Deense Hoek,11,5737–5737,Laarbeek,Noord-Brabant
,Den Deijl,9,2245–2245,Wassenaar,Zuid-Holland
,Dekeshorst,10,5988–5988,Peel en Maas,Limburg
,Dekkershuizen,13,9909–9909,Delfzijl,Groningen
,"Delburen /Delbuorren",21,8565–8565,De Fryske Marren,Fryslân
,Delden,6,7251–7251,Bronckhorst,Gelderland
,Deldenerbroek,13,7495–7495,Hof van Twente,Overijssel
,Deldeneresch,12,7495–7495,Hof van Twente,Overijssel
,De Dellen,9,5453–5453,Mill en Sint Hubert,Noord-Brabant
,Demmerik,8,3645–3645,De Ronde Venen,Utrecht
,Denemarken,10,9621–9621,Midden-Groningen,Groningen
,Deuteren,8,5223–5223,'s-Hertogenbosch,Noord-Brabant
,Diefdijk,8,4143–4143,Vijfheerenlanden,Utrecht
,Diekendaal,10,6598–6598,Gennep,Limburg
,Diemerbroek,11,3464–3464,Oudewater,Utrecht
,Diepenbroek,11,5707–5707,Helmond,Noord-Brabant
,Diependal,9,6285–6285,Gulpen-Wittem,Limburg
,Diepswal,8,9812–9812,Westerkwartier,Groningen
,Diermen,7,3882–3882,Putten,Gelderland
,Dieskant,8,5221–5221,'s-Hertogenbosch,Noord-Brabant
,Dieteren,8,6114–6114,Echt-Susteren,Limburg
,Dijk,4,5721–5721,Asten,Noord-Brabant
,Dijk,4,6281–6281,Gulpen-Wittem,Limburg
,Dijk,4,5995–5995,Peel en Maas,Limburg
,Dijk,4,5469–5469,Meierijstad,Noord-Brabant
,Dijkerhoek,10,7451–7451,Rijssen-Holten,Overijssel
,Dijkerstraat,12,6006–6006,Weert,Limburg
,Dijkhoek,8,7271–7271,Berkelland,Gelderland
,Dijkhuisjes,11,4316–4316,Schouwen-Duiveland,Zeeland
,Dijkhuizen,10,8161–8161,Epe,Gelderland
,"Dijkshorne /Dykshoarne",23,9131–9131,Noardeast-Fryslân,Fryslân
,"Dijksterburen /Dyksterbuorren",30,8821–8821,Súdwest-Fryslân,Fryslân
,Dijkwel,7,4421–4421,Kapelle,Zeeland
,Dikbroeken,10,7876–7876,Borger-Odoorn,Drenthe
,(De) Dingen,11,9953–9953,Het Hogeland,Groningen
,(De) Dingen,11,9953–9953,Het Hogeland,Groningen
,Dintelsas,9,4671–4671,Steenbergen,Noord-Brabant
,Dinther,7,5473–5473,Bernheze,Noord-Brabant
,Dintherse Hoek,14,5473–5473,Bernheze,Noord-Brabant
,Dishoek,7,4371–4371,Veere,Zeeland
,Distelberg,10,5268–5268,Haaren,Noord-Brabant
,Diunt,5,4836–4836,Breda,Noord-Brabant
,Doesburgerbuurt,15,6718–6718,Ede,Gelderland
,"Doijum /Doaium",15,8801–8801,Waadhoeke,Fryslân
,"Dokkumer Nieuwe Zijlen /Dokkumer Nije Silen",44,9132–9132,Noardeast-Fryslân,Fryslân
,Dolberg,7,6343–6343,Voerendaal,Limburg
,Domme Aanleg,12,7122–7122,Aalten,Gelderland
,Dommelen,8,5551–5551,Valkenswaard,Noord-Brabant
,Dommelsvoort,12,5437–5437,Cuijk,Noord-Brabant
,Domwier,7,9005–9005,Leeuwarden,Fryslân
,Doniaburen,10,8761–8761,Súdwest-Fryslân,Fryslân
,De Donk,7,2974–2974,Molenlanden,Zuid-Holland
,Donk,4,5512–5512,Eersel,Noord-Brabant
,Donk,4,5995–5995,Peel en Maas,Limburg
,Donk,4,5768–5768,Peel en Maas,Limburg
,Donkereind,10,3645–3645,De Ronde Venen,Utrecht
,Donkersvoort,12,5741–5741,Laarbeek,Noord-Brabant
,Donzel,6,5388–5388,Bernheze,Noord-Brabant
,De Dood,7,4715–4715,Rucphen,Noord-Brabant
,Doodstil,8,9997–9997,Het Hogeland,Groningen
,Den Dool,8,4231–4231,Molenlanden,Zuid-Holland
,Doonheide,9,5421–5421,Gemert-Bakel,Noord-Brabant
,Doornhoek,9,5258–5258,Sint-Michielsgestel,Noord-Brabant
,Doornhoek,9,5465–5465,Meierijstad,Noord-Brabant
,Doornik,7,6681–6681,Lingewaard,Gelderland
,Doorning,8,5328–5328,Maasdriel,Gelderland
,Doornsteeg,10,3861–3861,Nijkerk,Gelderland
,Doosje,6,7946–7946,Steenwijkerland,Overijssel
,Dorkwerd,8,9746–9746,Groningen,Groningen
,Dorp,4,9871–9871,Westerkwartier,Groningen
,Dorshout,8,5462–5462,Meierijstad,Noord-Brabant
,Dortherhoek,11,7437–7437,Deventer,Overijssel
,Douvergenhout,13,6447–6447,Beekdaelen,Limburg
,Douwen,6,9965–9965,Het Hogeland,Groningen
,Draaibrug,9,4527–4527,Sluis,Zeeland
,"Draaisterhuizen /Draeisterhuzen",32,8618–8618,Súdwest-Fryslân,Fryslân
,Drie,4,3852–3852,Ermelo,Gelderland
,Drie Hoefijzers,15,4566–4566,Hulst,Zeeland
,Drie Hoefijzers,15,4675–4675,Moerdijk,Noord-Brabant
,"Drieboerehuizen /Trijeboerehuzen",33,9151–9151,Noardeast-Fryslân,Fryslân
,Driedorp,8,3862–3862,Nijkerk,Gelderland
,Driehoek,8,5684–5684,Best,Noord-Brabant
,Driehoek,8,4793–4793,Moerdijk,Noord-Brabant
,Driehoek,8,5841–5841,Sint Anthonis,Noord-Brabant
,Driehoek,8,5691–5691,Son en Breugel,Noord-Brabant
,Driehoek,8,4881–4881,Zundert,Noord-Brabant
,Driehuis,8,5511–5511,Eersel,Noord-Brabant
,Driehuis,8,1985–1985,Velsen,Noord-Holland
,Driehuizen,10,5111–5111,Baarle-Nassau,Noord-Brabant
,Driehuizen,10,5512–5512,Eersel,Noord-Brabant
,Driehuizen,10,5081–5081,Hilvarenbeek,Noord-Brabant
,Driehuizen,10,5464–5464,Meierijstad,Noord-Brabant
,Driemond,8,1109–1109,Amsterdam,Noord-Holland
,Driene,6,7552–7552,Hengelo,Overijssel
,Dries,5,6086–6086,Leudal,Limburg
,Drieschouwen,12,4571–4571,Terneuzen,Zeeland
,De Driesprong,13,2295–2295,Westland,Zuid-Holland
,Driesprong,10,6718–6718,Ede,Gelderland
,Driewegen,9,4521–4521,Terneuzen,Zeeland
,Drieënhuizen,12,3774–3774,Barneveld,Gelderland
,Drogt,5,7921–7921,De Wolden,Drenthe
,De Druif,8,4791–4791,Moerdijk,Noord-Brabant
,Druisdijk,9,5131–5131,Alphen-Chaam,Noord-Brabant
,Dubbroek,8,5993–5993,Peel en Maas,Limburg
,Duifhuis,8,5411–5411,Landerd,Noord-Brabant
,Duifhuis,8,5406–5406,Uden,Noord-Brabant
,Duiksehoef,10,5175–5175,Loon op Zand,Noord-Brabant
,Duinen,6,3849–3849,Harderwijk,Gelderland
,Duistervoorde,13,7391–7391,Voorst,Gelderland
,Duivenhoek,10,4587–4587,Hulst,Zeeland
,Duizend Morgen,14,4284–4284,Altena,Noord-Brabant
,Dulder,6,7597–7597,Dinkelland,Overijssel
,Dun,3,5085–5085,Hilvarenbeek,Noord-Brabant
,Dunsborg,8,7255–7255,Bronckhorst,Gelderland
,Durgerdam,9,1026–1026,Amsterdam,Noord-Holland
,Duur,4,8121–8121,Olst-Wijhe,Overijssel
,Duurendseind,12,5351–5351,Oss,Noord-Brabant
,Duurkenakker,12,9651–9651,Midden-Groningen,Groningen
,Dwarsdiep,9,9663–9663,Stadskanaal,Groningen
,Dwarsdijk,9,3945–3945,Wijk bij Duurstede,Utrecht
,Dwarsgracht,11,8355–8355,Steenwijkerland,Overijssel
,Ebbenbroek,10,7695–7695,Hardenberg,Overijssel
,Echterbosch,11,6105–6105,Echt-Susteren,Limburg
,Eefsele,7,7141–7141,Oost Gelre,Gelderland
,Eekt,4,8097–8097,Oldebroek,Gelderland
,Eekwerd,7,9917–9917,Loppersum,Groningen
,Eekwerderdraai,14,9917–9917,Loppersum,Groningen
,Eelde-Paterswolde,17,9761–9765,Tynaarlo,Drenthe
,Eelen,5,7447–7447,Hellendoorn,Overijssel
,Eembrugge,9,3755–3755,Eemnes,Utrecht
,Eemster,7,7991–7991,Westerveld,Drenthe
,"Eemswoude /Ymswâlde",20,8765–8765,Súdwest-Fryslân,Fryslân
,Eemten,6,7957–7957,De Wolden,Drenthe
,Eeneind,7,5674–5674,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
,Eenigenburg,11,1744–1744,Schagen,Noord-Holland
,Eerde,5,7731–7731,Ommen,Overijssel
,Eerde,5,5466–5466,Meierijstad,Noord-Brabant
,Eerste Dwarsdiep,16,9515–9515,Aa en Hunze,Drenthe
,Eese,4,8347–8347,Steenwijkerland,Overijssel
,Eextahaven,10,9679–9679,Oldambt,Groningen
,Effen,5,4838–4838,Breda,Noord-Brabant
,Egbertsgaasten,14,9217–9217,Smallingerland,Fryslân
,Egchelheide,11,5987–5987,Peel en Maas,Limburg
,Egede,5,7447–7447,Hellendoorn,Overijssel
,Egypte,6,5531–5531,Bladel,Noord-Brabant
,Eikberg,7,4854–4854,Breda,Noord-Brabant
,Eikelenbosch,12,5111–5111,Baarle-Nassau,Noord-Brabant
,Eikelenbosch,12,5962–5962,Horst aan de Maas,Limburg
,Eikelhof,8,8121–8121,Olst-Wijhe,Overijssel
,Eikenheuvel,11,5406–5406,Uden,Noord-Brabant
,Eiland,6,6086–6086,Leudal,Limburg
,Eiland,6,6107–6107,Maasgouw,Limburg
,Eiland,6,4635–4635,Woensdrecht,Noord-Brabant
,Eimeren,7,6662–6662,Overbetuwe,Gelderland
,'t Eind,7,5076–5076,Haaren,Noord-Brabant
,Eind,4,5561–5561,Bergeijk,Noord-Brabant
,Eind,4,6088–6088,Leudal,Limburg
,Eind,4,6034–6034,Nederweert,Limburg
,Eind,4,5694–5694,Son en Breugel,Noord-Brabant
,Eind van Den Hout,17,4911–4911,Oosterhout,Noord-Brabant
,Einde,5,6071–6071,Roermond,Limburg
,Eindewege,9,4458–4458,Goes,Zeeland
,Eindje,6,5715–5715,Someren,Noord-Brabant
,Ekamp,5,9682–9684,Oldambt,Groningen
,Elde,4,5481–5481,Meierijstad,Noord-Brabant
,Eldik,5,4051–4051,Neder-Betuwe,Gelderland
,Eldrik,6,6998–6998,Bronckhorst,Gelderland
,De Elft,7,5363–5363,Grave,Noord-Brabant
,Elkerzee,8,4322–4322,Schouwen-Duiveland,Zeeland
,Ellerhei,8,6011–6011,Leudal,Limburg
,Ellerhuizen,11,9781–9781,Het Hogeland,Groningen
,Ellersinghuizen,15,9541–9541,Westerwolde,Groningen
,Elsen,5,7475–7475,Hof van Twente,Overijssel
,Elsenerbroek,12,7475–7475,Hof van Twente,Overijssel
,Elshof,6,8131–8131,Olst-Wijhe,Overijssel
,Elshout,7,5864–5864,Horst aan de Maas,Limburg
,Elst,4,5386–5386,Oss,Noord-Brabant
,Elst,4,3921–3922,Rhenen,Utrecht
,Elsteren,8,5855–5855,Bergen,Limburg
,Elzet,5,6281–6281,Gulpen-Wittem,Limburg
,Emmaberg,8,6301–6301,Valkenburg aan de Geul,Limburg
,Emmadorp,8,4568–4568,Hulst,Zeeland
,Emmen,5,7722–7722,Dalfsen,Overijssel
,Emminkhuizen,12,3927–3927,Renswoude,Utrecht
,Empel,5,5236–5236,'s-Hertogenbosch,Noord-Brabant
,Endepoel,8,5815–5815,Venray,Limburg
,De Eng,6,6921–6921,Duiven,Gelderland
,Eng,3,4288–4288,Altena,Noord-Brabant
,Engbergen,9,7083–7083,Oude IJsselstreek,Gelderland
,De Engel,8,2161–2161,Lisse,Zuid-Holland
,Engeland,8,7361–7361,Apeldoorn,Gelderland
,Engeland,8,7722–7722,Dalfsen,Overijssel
,Engeland,8,7963–7963,De Wolden,Drenthe
,Engeland,8,7784–7784,Hardenberg,Overijssel
,Engelbert,9,9723–9723,Groningen,Groningen
,Engelen,7,5221–5221,'s-Hertogenbosch,Noord-Brabant
,Englum,6,9883–9883,Westerkwartier,Groningen
,Engwegen,8,6305–6305,Valkenburg aan de Geul,Limburg
,"Engwerd /Ingwert",17,9012–9012,Súdwest-Fryslân,Fryslân
,Engwier,7,8754–8754,Súdwest-Fryslân,Fryslân
,Enzelens,8,9918–9918,Loppersum,Groningen
,Eperheide,9,6285–6285,Gulpen-Wittem,Limburg
,Eppenzolder,11,7482–7482,Haaksbergen,Overijssel
,Ermerveen,9,7814–7814,Emmen,Drenthe
,Eschoten,8,6731–6731,Ede,Gelderland
,Esdonk,6,5421–5421,Gemert-Bakel,Noord-Brabant
,Esp,3,5761–5761,Gemert-Bakel,Noord-Brabant
,Espelo,6,7451–7451,Rijssen-Holten,Overijssel
,Essebroek,9,4031–4031,Buren,Gelderland
,Essen,5,3774–3774,Barneveld,Gelderland
,Essen,5,9751–9751,Groningen,Groningen
,Esveld,6,3771–3771,Barneveld,Gelderland
,Etenaken,8,6321–6321,Gulpen-Wittem,Limburg
,Etsberg,7,6063–6063,Roerdalen,Limburg
,Etzenrade,9,6454–6454,Beekdaelen,Limburg
,Europoort,9,3198–3198,Rotterdam,Zuid-Holland
,Eursing,7,9411–9411,Midden-Drenthe,Drenthe
,Eursinge,8,7971–7971,Westerveld,Drenthe
,Euvelwegen,10,6029–6029,Heeze-Leende,Noord-Brabant
,Euverem,7,6271–6271,Gulpen-Wittem,Limburg
,Evenheuvel,10,5688–5688,Oirschot,Noord-Brabant
,Everland,8,4707–4707,Roosendaal,Noord-Brabant
,Everlo,6,5981–5981,Peel en Maas,Limburg
,Eversdijk,9,4421–4421,Kapelle,Zeeland
,Everse,6,5491–5491,Meierijstad,Noord-Brabant
,Ewer,4,9966–9966,Het Hogeland,Groningen
,Ewijk,5,6611–6611,Heumen,Gelderland
,Ewinkel,7,5432–5432,Cuijk,Noord-Brabant
,Exel,4,7245–7245,Lochem,Gelderland
,Exel-Tol,8,7241–7241,Lochem,Gelderland
,Exloërkijl,10,9571–9571,Borger-Odoorn,Drenthe
,"Exmorrazijl /Eksmoarresyl",26,8759–8759,Súdwest-Fryslân,Fryslân
,Eyserheide,10,6287–6287,Gulpen-Wittem,Limburg
,"Ezumazijl /Iezumasyl",21,9133–9133,Noardeast-Fryslân,Fryslân
,Faan,4,9822–9822,Westerkwartier,Groningen
,"Farebuorren /Vaardeburen",25,9171–9171,Noardeast-Fryslân,Fryslân
,Fatum,5,8804–8804,Waadhoeke,Fryslân
,"Feanwâldsterwâl /Veenwoudsterwal",33,9254–9269,Dantumadiel,Fryslân
,Felland,7,9755–9755,Groningen,Groningen
,Feytebuorren,12,8616–8616,Súdwest-Fryslân,Fryslân
,Fiemel,6,9947–9947,Delfzijl,Groningen
,"Finkeburen /Finkebuorren",25,8521–8521,De Fryske Marren,Fryslân
,Finsterwolderhamrik,19,9684–9684,Oldambt,Groningen
,"Flansum /Flânsum",17,9012–9012,Súdwest-Fryslân,Fryslân
,Flieren,7,6691–6691,Lingewaard,Gelderland
,Fokkershoek,11,5473–5473,Bernheze,Noord-Brabant
,Fort,4,7924–7924,De Wolden,Drenthe
,Fortmond,8,8121–8121,Olst-Wijhe,Overijssel
,Foxholsterbosch,15,9607–9607,Midden-Groningen,Groningen
,Fraamklap,9,9991–9991,Loppersum,Groningen
,"Franschehoef /Franse Hoef (?)",30,5531–5531,Bladel,Noord-Brabant
,Fransum,7,9833–9833,Westerkwartier,Groningen
,Friesland,9,6942–6942,Montferland,Gelderland
,Frieswijk,9,7433–7433,Deventer,Overijssel
,Fromberg,8,6367–6367,Voerendaal,Limburg
,Frytum,6,9884–9884,Westerkwartier,Groningen
,"Fûns /Fons",11,9023–9023,Leeuwarden,Fryslân
,Gaag,4,3155–3155,Midden-Delfland,Zuid-Holland
,Gaarkeuken,10,9843–9843,Westerkwartier,Groningen
,Gaarland,8,9628–9628,Midden-Groningen,Groningen
,De Gaasten,10,9216–9216,Smallingerland,Fryslân
,Gaete,5,4926–4926,Drimmelen,Noord-Brabant
,De Gagel,8,5451–5451,Mill en Sint Hubert,Noord-Brabant
,Galamadammen,12,8723–8723,Súdwest-Fryslân,Fryslân
,"Galhoeke /De Galhoek (?)",25,9205–9205,Smallingerland,Fryslân
,Gammelke,8,7561–7561,Dinkelland,Overijssel
,Ganzedijk,9,9684–9684,Oldambt,Groningen
,Ganzert,7,4031–4031,Buren,Gelderland
,Garderbroek,11,3774–3774,Barneveld,Gelderland
,Garreweer,9,9903–9903,Appingedam,Groningen
,Gasselterboerveen,17,9514–9514,Aa en Hunze,Drenthe
,Gasselterboerveenschemond,25,9515–9515,Aa en Hunze,Drenthe
,Gastelsveer,11,4751–4751,Halderberge,Noord-Brabant
,Gasthuis,8,6268–6268,Eijsden-Margraten,Limburg
,Gawege,6,4414–4414,Reimerswaal,Zeeland
,Gebergte,8,5715–5715,Someren,Noord-Brabant
,Gebroek,7,6101–6101,Echt-Susteren,Limburg
,Gebroek,7,6121–6121,Sittard-Geleen,Limburg
,Geefsweer,9,9937–9937,Delfzijl,Groningen
,Geeneind,8,5708–5735,Helmond,Noord-Brabant
,Geer,4,3648–3648,De Ronde Venen,Utrecht
,Geer,4,4243–4243,Vijfheerenlanden,Utrecht
,Geersbroek,10,4858–4858,Alphen-Chaam,Noord-Brabant
,Geerstraat,10,8171–8171,Epe,Gelderland
,Geestdorp,9,3444–3444,Woerden,Utrecht
,Geitenwaard,11,6913–6913,Zevenaar,Gelderland
,Gelderse Buurt,14,1761–1761,Hollands Kroon,Noord-Holland
,Geldtienden,11,4353–4353,Veere,Zeeland
,Gelkenes,8,2964–2964,Molenlanden,Zuid-Holland
,Geloo,5,5951–5951,Venlo,Limburg
,Gemaal (?),10,3646–3646,De Ronde Venen,Utrecht
,Gement,6,5351–5351,Oss,Noord-Brabant
,Gendijk,7,6086–6086,Leudal,Limburg
,Geneijgen,9,6096–6096,Leudal,Limburg
,Geneneind,9,5761–5761,Gemert-Bakel,Noord-Brabant
,Gening,6,5851–5851,Bergen,Limburg
,Genne,5,8061–8061,Zwartewaterland,Overijssel
,Genne-Overwaters,16,8061–8061,Zwartewaterland,Overijssel
,Genoenhuis,10,5661–5661,Geldrop-Mierlo,Noord-Brabant
,Genooi,6,5914–5914,Venlo,Limburg
,Gerheggen,9,6086–6086,Leudal,Limburg
,Gerner,6,7722–7722,Dalfsen,Overijssel
,Gerven,6,3882–3882,Putten,Gelderland
,Gerverscop,10,3481–3481,Woerden,Utrecht
